map1,Int1,map2,Int2,map3,Int3
0,6,0,6,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,6,0,6
0,6,0,6,0,2
0,0,0,6,0,0
0,6,0,0,0,0
0,6,0,6,0,0
0,2,0,0,0,0
2,2,2,2,2,0
2,0,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,0
2,6,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,6,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,0,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,8,2,2
2,2,2,2,2,0
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,0,2,2,2,2
2,8,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
2,2,2,2,2,2
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,0,6,2
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,2
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,0
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,0
6,6,6,6,6,0
6,6,6,6,6,6
6,6,6,6,6,0
6,6,6,6,6,6
6,6,6,6,6,2
6,6,6,6,6,6
6,6,6,6,6,0
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,0
6,6,6,6,6,6
6,2,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,2
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,2
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
6,2,6,6,6,6
6,6,6,6,6,6
6,2,6,6,6,6
6,6,6,6,6,6
6,6,6,6,6,6
8,8,8,8,8,8
8,8,8,2,8,8
8,8,8,2,8,2
8,8,8,8,8,2
8,8,8,8,8,8
8,8,8,2,8,8
8,8,8,8,8,0
8,2,8,2,8,2
8,8,8,8,8,8
8,8,8,8,8,6
8,8,8,8,8,8
8,8,8,0,8,8
8,2,8,8,8,8
8,8,8,2,8,8
